D,match
1,1
22,1
4,1
3,1
3,1
3,1
3,1
1,1
4,1
21,1
22,1
0,1
21,1
3,1
2,1
0,1
22,1
0,1
0,1
3,1
21,1
22,1
0,1
22,1
3,1
22,1
22,1
19,1
22,1
22,1
0,1
0,1
2,1
1,1
1,1
1,1
0,1
3,1
22,1
21,1
1,1
1,1
22,1
22,1
22,1
1,1
0,1
0,1
1,1
0,1
1,1
22,1
21,1
0,1
22,1
2,1
22,1
22,1
2,1
22,1
22,1
21,1
1,1
1,1
21,1
21,1
0,1
22,1
21,1
21,1
2,1
22,1
21,1
0,1
1,1
0,1
2,1
21,1
3,1
1,1
22,1
21,1
22,1
21,1
22,1
2,1
22,1
20,1
3,1
1,1
2,1
22,1
22,1
19,1
1,1
1,1
20,1
4,1
0,1
21,1
1,1
1,1
0,1
22,1
22,1
0,1
1,1
0,1
1,1
1,1
2,1
0,1
1,1
21,1
20,1
18,1
21,1
5,1
22,1
22,1
1,1
0,1
1,1
1,1
1,1
2,1
22,1
0,1
18,1
2,1
2,1
0,1
17,0
3,1
2,1
2,1
22,1
1,1
2,1
21,1
1,1
1,1
1,1
22,1
0,1
1,1
2,1
1,1
21,1
22,1
0,1
1,1
0,1
2,1
22,1
2,1
3,1
21,1
1,1
22,1
2,1
1,1
0,1
1,1
1,1
22,1
22,1
22,1
1,1
20,1
22,1
22,1
22,1
1,1
1,1
1,1
1,1
22,1
22,1
0,1
2,1
21,1
21,1
22,1
21,1
22,1
1,1
4,1
2,1
0,1
2,1
21,1
3,1
19,1
0,1
1,1
0,1
1,1
0,1
5,1
0,1
0,1
22,1
22,1
1,1
0,1
1,1
4,1
22,1
22,1
0,1
22,1
0,1
22,1
3,1
2,1
21,1
0,1
21,1
21,1
0,1
21,1
0,1
1,1
19,1
1,1
2,1
0,1
0,1
0,1
1,1
22,1
4,1
0,1
19,1
1,1
21,1
0,1
0,1
2,1
20,1
2,1
0,1
21,1
21,1
0,1
19,1
22,1
2,1
2,1
0,1
0,1
3,1
0,1
0,1
22,1
0,1
22,1
22,1
22,1
0,1
22,1
20,1
1,1
0,1
0,1
0,1
22,1
0,1
22,1
4,1
20,1
0,1
0,1
0,1
2,1
1,1
1,1
0,1
22,1
0,1
0,1
1,1
3,1
1,1
0,1
1,1
18,1
0,1
22,1
0,1
21,1
22,1
1,1
0,1
2,1
1,1
22,1
20,1
4,1
3,1
0,1
2,1
0,1
2,1
22,1
2,1
1,1
22,1
22,1
1,1
2,1
0,1
2,1
1,1
0,1
1,1
3,1
21,1
1,1
2,1
0,1
22,1
22,1
22,1
0,1
22,1
0,1
0,1
2,1
20,1
21,1
22,1
0,1
3,1
1,1
0,1
21,1
0,1
1,1
22,1
0,1
1,1
0,1
2,1
20,1
0,1
0,1
21,1
3,1
22,1
2,1
22,1
3,1
0,1
1,1
22,1
1,1
0,1
1,1
3,1
0,1
21,1
0,1
22,1
2,1
0,1
1,1
2,1
1,1
20,1
1,1
0,1
21,1
0,1
21,1
3,1
21,1
0,1
4,1
0,1
22,1
0,1
1,1
2,1
2,1
0,1
0,1
3,1
21,1
2,1
22,1
3,1
2,1
21,1
22,1
22,1
22,1
3,1
0,1
22,1
22,1
0,1
2,1
22,1
1,1
3,1
1,1
21,1
0,1
1,1
21,1
1,1
1,1
2,1
22,1
2,1
1,1
20,1
2,1
2,1
22,1
2,1
22,1
1,1
1,1
4,1
19,1
22,1
3,1
1,1
1,1
20,1
0,1
20,1
2,1
0,1
21,1
1,1
22,1
2,1
21,1
2,1
1,1
21,1
21,1
20,1
22,1
2,1
22,1
2,1
0,1
20,1
1,1
1,1
0,1
22,1
2,1
21,1
1,1
22,1
22,1
0,1
22,1
22,1
2,1
0,1
0,1
2,1
22,1
22,1
0,1
3,1
0,1
1,1
0,1
20,1
22,1
21,1
0,1
2,1
22,1
3,1
0,1
0,1
20,1
3,1
1,1
22,1
22,1
22,1
4,1
21,1
1,1
0,1
0,1
1,1
0,1
22,1
